服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PRV-RMBTS-I-0047	公共服务体系	产品数据	产品基础信息	产品相关	本币标准债券远期合约数据	双向：Out-In	私有服务	PRV-SHCH-I-0026	标准债券远期集中净额清算业务-合约数据	RMBTS-SHCH-31-1	确定合并，将本币发送给上清所的标准利率互换、标准债券远期合约数据服务合并			36.0	IMIX	本币交易系统	上海清算所
PRV-SHCH-I-0026	公共服务体系	产品数据	产品基础信息	产品相关	本币标准债券远期合约数据反馈	单向：Out-Only	私有服务	PRV-RMBTS-I-0047	标准债券远期集中净额清算业务-合约数据反馈	RMBTS-SHCH-31-2	确定合并，将上清所发送给本币的标准利率互换、标准债券远期合约数据反馈服务合并			36.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0048	公共服务体系	产品数据	产品基础信息	产品相关	本币标准债券远期可交割券	双向：Out-In	私有服务	PRV-SHCH-I-0027	标准债券远期集中净额清算业务-可交割券	RMBTS-SHCH-32-1	将本币发给上清所的标准债券远期可交割券服务合并至Xtrade发送给上清所的标准债券远期可交割券服务			37.0	IMIX	本币交易系统	上海清算所
PRV-XTRADE-I-0010	公共服务体系	产品数据	产品基础信息	产品相关	本币标准债券远期可交割券	双向：Out-In	私有服务	PRV-SHCH-I-0061	清算所-可交割券	XTRADE-SHCH-SBF-9	/			38.0	IMIX	标准金融资产及衍生品交易系统	上海清算所
PRV-SHCH-I-0027	公共服务体系	产品数据	产品基础信息	产品相关	本币标准债券远期可交割券反馈	单向：Out-Only	私有服务	PRV-RMBTS-I-0048	标准债券远期集中净额清算业务-可交割券信息反馈	RMBTS-SHCH-32-2	将上清所发给本币的标准债券远期可交割券反馈服务合并至上清所发送给Xtrade的标准债券远期可交割券反馈服务			37.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0061	公共服务体系	产品数据	产品基础信息	产品相关	本币标准债券远期可交割券反馈	单向：Out-Only	私有服务	PRV-XTRADE-I-0010	清算所-可交割券-反馈	XTRADE-SHCH-SBF-9-R	/			38.0	IMIX	上海清算所	标准金融资产及衍生品交易系统
PUB-PTPS-I-0007	公共服务体系	产品数据	产品基础信息	计算类	交割指令	单向：Out-Only	公有服务		交割指令	PTPS-CDC-1	/			/	IMIX	交易后处理系统	中央国债登记结算公司
PRV-SHCH-I-0039	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行--超短期融资券	双向：Out-In	私有服务	PRV-RMBTS-I-0062	超短期融资券发行	SHCH-RMBTS-2-1	/			39.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0041	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行--定向工具	双向：Out-In	私有服务	PRV-RMBTS-I-0064	定向工具发行	SHCH-RMBTS-4-1	/			40.0	IMIX	上海清算所	本币交易系统
PRV-SHCH-I-0040	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行--短期融资券	双向：Out-In	私有服务	PRV-RMBTS-I-0063	短期融资券发行	SHCH-RMBTS-3-1	/			41.0	IMIX	上海清算所	本币交易系统
PRV-RMBTS-I-0062	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行反馈--超短期融资券	单向：Out-Only	私有服务	PRV-SHCH-I-0039	超短期融资券发行反馈	SHCH-RMBTS-2-2	/			39.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0064	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行反馈--定向工具	单向：Out-Only	私有服务	PRV-SHCH-I-0041	定向工具发行反馈	SHCH-RMBTS-4-2	/			40.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0063	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行反馈--短期融资券	单向：Out-Only	私有服务	PRV-SHCH-I-0040	短期融资券发行反馈	SHCH-RMBTS-3-2	/			41.0	IMIX	本币交易系统	上海清算所
PRV-ICDIS-I-0001	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行反馈--同业存单	双向：In-Out	私有服务	PRV-SHCH-I-0070	同业存单发行反馈	SHCH-ICDIS-1-R	/			42.0	IMIX	货币及债务工具发行系统（原名：同业存单发行系统）	上海清算所
PRV-RMBTS-I-0065	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行反馈--同业存单	单向：Out-Only	私有服务	PRV-SHCH-I-0042	同业存单发行反馈	SHCH-RMBTS-7-2	本币发送给上清所的同业存单发行反馈服务合并至货币及债务工具发行系统发给上清所的同业存单发行反馈服务			43.0	IMIX	本币交易系统	上海清算所
PRV-RMBTS-I-0061	公共服务体系	产品数据	产品基础信息	交易工具	交易工具发行反馈--信用风险缓释凭证	单向：Out-Only	私有服务	PRV-SHCH-I-0038	信用风险缓释凭证发行反馈	SHCH-RMBTS-1-2	/			44.0	IMIX	本币交易系统	上海清算所
