原接口名称	原接口编号	所属数据实体	所属服务名	公有/私有	MEP(消息交换模式)	合并建议	其他修订建议	所属服务体系	服务发布者	服务订阅者
清算所-合约数据	XTRADE-SHCH-SIRS-7	产品基础信息	清算所--本币标准产品合约数据	私有服务	双向：Out-In	A10、A12	/	公共服务体系	标准金融资产及衍生品交易系统	上海清算所
标准利率互换集中清算业务-合约数据	RMBTS-SHCH-41-1	产品基础信息	清算所--本币标准产品合约数据	私有服务	双向：Out-In	A8、A10、A12	/	公共服务体系	本币交易系统	上海清算所
标准债券远期集中净额清算业务-合约数据	RMBTS-SHCH-31-1	产品基础信息	清算所--本币标准产品合约数据	私有服务	双向：Out-In	A8、A10、A12	/	公共服务体系	本币交易系统	上海清算所
清算所-合约数据-反馈	XTRADE-SHCH-SIRS-7-R	产品基础信息	清算所--本币标准产品合约数据反馈	私有服务	单向：Out-Only	A10、A12	/	公共服务体系	上海清算所	标准金融资产及衍生品交易系统
标准利率互换集中清算业务-合约数据反馈	RMBTS-SHCH-41-2	产品基础信息	清算所--本币标准产品合约数据反馈	私有服务	单向：Out-Only	A8、A10、A12	/	公共服务体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-合约数据反馈	RMBTS-SHCH-31-2	产品基础信息	清算所--本币标准产品合约数据反馈	私有服务	单向：Out-Only	A8、A10、A12	/	公共服务体系	上海清算所	本币交易系统
超短期融资券发行	SHCH-RMBTS-2-1	产品基础信息	清算所--交易工具发行--超短期融资券	私有服务	双向：Out-In	A12	/	公共服务体系	上海清算所	本币交易系统
定向工具发行	SHCH-RMBTS-4-1	产品基础信息	清算所--交易工具发行--定向工具	私有服务	双向：Out-In	A12	/	公共服务体系	上海清算所	本币交易系统
短期融资券发行	SHCH-RMBTS-3-1	产品基础信息	清算所--交易工具发行--短期融资券	私有服务	双向：Out-In	A12	/	公共服务体系	上海清算所	本币交易系统
同业存单发行反馈	SHCH-ICDIS-1-R	产品基础信息	清算所--交易工具发行反馈--同业存单	私有服务	双向：In-Out	A10、A12	/	公共服务体系	货币及债务工具发行系统（原名：同业存单发行系统）	上海清算所
同业存单发行	SHCH-RMBTS-7-1	产品基础信息	清算所--交易工具发行--同业存单	私有服务	双向：Out-In	A10、A12	/	公共服务体系	上海清算所	本币交易系统
同业存单发行（交易流通）	SHCH-ICDIS-1	产品基础信息	清算所--交易工具发行--同业存单	私有服务	单向：Out-Only	A10、A12	/	公共服务体系	上海清算所	货币及债务工具发行系统（原名：同业存单发行系统）
信用风险缓释凭证发行	SHCH-RMBTS-1-1	产品基础信息	清算所--交易工具发行--信用风险缓释凭证	私有服务	双向：Out-In	A12	/	公共服务体系	上海清算所	本币交易系统
ABS发行	SHCH-RMBTS-5	产品基础信息	清算所--交易工具发行--资产支持证券	公有服务	单向：Out-Only	/	/	公共服务体系	上海清算所	本币交易系统
接口组-质押匿名点击场次信息发往监测系统	XTRADE-RMBMSS-Repo-6	场次数据	质押匿名点击场次信息	公有服务	单向：Out-Only	/	/	公共服务体系	标准金融资产及衍生品交易系统	本币监测系统
竞价会员基础信息	FXTS-SHCH-9	会员权限信息	清算所--外汇竞价交易会员信息	私有服务	单向：Out-Only	/	/	公共服务体系	外汇交易系统	上海清算所
日终发送结算银行与保证金银行全量信息	FXTS-SHCH-4	会员权限信息	清算所--外汇日终会员结算银行与保证金银行信息	私有服务	单向：Out-Only	/	/	公共服务体系	外汇交易系统	上海清算所
日终发送询价净额清算会员全量信息	FXTS-SHCH-2	会员权限信息	清算所--外汇日终询价交易会员信息	私有服务	双向：Out-In	A12	/	公共服务体系	外汇交易系统	上海清算所
日终批量发送询价净额清算会员信息核对结果	FXTS-SHCH-2-R	会员权限信息	清算所--外汇日终询价交易会员信息反馈	私有服务	单向：Out-Only	A12	/	公共服务体系	上海清算所	外汇交易系统
债券交易净额清算-净额清算资质机构名单	SHCH-RMBTS-12	会员权限信息	债券交易净额清算资质机构名单	私有服务	单向：Out-Only	/	/	公共服务体系	上海清算所	本币交易系统
北金所机构会员基础数据	CFAT-RMBTS-1	机构基础信息	北金所交易会员信息	私有服务	单向：Out-Only	/	/	公共服务体系	北金所	本币交易系统
IRS净额清算-机构基础信息	RMBTS-SHCH-17	机构基础信息	本币利率互换会员信息	私有服务	单向：Out-Only	/	/	公共服务体系	本币交易系统	上海清算所
闭市统计-本币	PTPS-IHUb-SHCH-4	基础统计数据	本币闭市统计	私有服务	双向：Out-In	A12	/	公共服务体系	交易后处理系统	上海清算所
闭市统计	RMBTS-PTPS-9	基础统计数据	本币闭市统计	公有服务	单向：Out-Only	A16	/	公共服务体系	本币交易系统	交易后处理系统
闭市统计	RMBTS-PTPS-11	基础统计数据	本币闭市统计	公有服务	单向：Out-Only	A16	/	公共服务体系	本币交易系统	交易后处理系统
本币系统闭市反馈	SHCH-Ihub-PTPS-4	基础统计数据	本币闭市统计反馈	私有服务	单向：Out-Only	A12	/	公共服务体系	上海清算所	交易后处理系统
IRS净额清算-日终交易中心闭市状态	RMBTS-SHCH-21-1	基础统计数据	本币利率互换闭市统计	私有服务	双向：Out-In	A12	/	公共服务体系	本币交易系统	上海清算所
IRS净额清算-闭市反馈	RMBTS-SHCH-21-2	基础统计数据	本币利率互换闭市统计反馈	私有服务	单向：Out-Only	A12	/	公共服务体系	上海清算所	本币交易系统
预收盘	RMBTS-PTPS-10	基础统计数据	本币预收盘	公有服务	单向：Out-Only	/	/	公共服务体系	本币交易系统	交易后处理系统
闭市统计-交易后	PTPS-IHUb-SHCH-5	基础统计数据	闭市统计	私有服务	双向：Out-In	A12	/	公共服务体系	交易后处理系统	上海清算所
交易后系统闭市反馈	SHCH-Ihub-PTPS-5	基础统计数据	闭市统计反馈	私有服务	单向：Out-Only	A12	/	公共服务体系	上海清算所	交易后处理系统
统计数据(接口存在但不使用)	XTRADE-RMBTS-IRS-15	基础统计数据	标准利率互换统计数据	公有服务	单向：Out-Only	/	/	公共服务体系	标准金融资产及衍生品交易系统	本币交易系统
清算所-当日交易总笔数	XTRADE-SHCH-SIRS-5	基础统计数据	清算所--本币标准产品日终交易笔数	私有服务	双向：Out-In	A10、A12	/	公共服务体系	标准金融资产及衍生品交易系统	上海清算所
标准利率互换集中清算业务-当日交易总笔数	RMBTS-SHCH-39	基础统计数据	清算所--本币标准产品日终交易笔数	私有服务	单向：Out-Only	A8、A10、A12	/	公共服务体系	本币交易系统	上海清算所
标准债券远期集中净额清算业务-当日交易总笔数	RMBTS-SHCH-29	基础统计数据	清算所--本币标准产品日终交易笔数	私有服务	单向：Out-Only	A8、A10、A12	/	公共服务体系	本币交易系统	上海清算所
清算所-当日交易总笔数-反馈	XTRADE-SHCH-SIRS-5-R	基础统计数据	清算所--本币标准产品日终交易笔数反馈（核对结果）	私有服务	单向：Out-Only	A10、A12	/	公共服务体系	上海清算所	标准金融资产及衍生品交易系统
标准利率互换集中清算业务-当日交易总笔数核对结果	RMBTS-SHCH-40	基础统计数据	清算所--本币标准产品日终交易笔数反馈（核对结果）	私有服务	单向：Out-Only	A8、A10、A12	/	公共服务体系	上海清算所	本币交易系统
日终发送汇总交易笔数和累计交易金额	FXTS-SHCH-3	基础统计数据	清算所--外汇交易笔数和累计交易金额	私有服务	双向：Out-In	A12	/	公共服务体系	外汇交易系统	上海清算所
日终发送汇总交易笔数和累计交易金额核对结果	FXTS-SHCH-3-R	基础统计数据	清算所--外汇交易笔数和累计交易金额反馈	私有服务	单向：Out-Only	A12	/	公共服务体系	上海清算所	外汇交易系统
日终交易系统闭市状态信息	FXTS-SHCH-5	基础统计数据	外汇闭市统计	公有服务	单向：Out-Only	/	/	公共服务体系	外汇交易系统	上海清算所
清洗后利率互换成交信息	DPS-RMBMSS-3	交易行为分析数据	本币利率互换成交清洗后信息	公有服务	单向：Out-Only	/	/	公共服务体系	数据处理系统	本币监测系统
异常交易数据	DPS-RMBMSS-1	交易行为分析数据	异常交易数据	公有服务	单向：Out-Only	/	/	公共服务体系	数据处理系统	本币监测系统
早上开市消息	RMBTS-XTRADE-IRS-4	交易时段变更信息	本币标准产品交易时段变更信息	公有服务	单向：Out-Only	A16	/	公共服务体系	本币交易系统	标准金融资产及衍生品交易系统
交易系统开盘信息	RMBTS-CFAT-1	交易时段变更信息	本币交易时段变更信息--北金所	公有服务	单向：Out-Only	/	/	公共服务体系	本币交易系统	北金所
接口组-质押匿名点击成交应急数据发往X-Trade（本币）	RMBTS-XTRADE-Repo-3	交易时段变更信息	本币交易时段变更信息--质押匿名点击	公有服务	单向：Out-Only	A16	/	公共服务体系	本币交易系统	标准金融资产及衍生品交易系统
开市信息	FXTS-CSWAP-1	交易时段变更信息	外汇标准产品交易时段变更信息	公有服务	单向：Out-Only	/	/	公共服务体系	外汇交易系统	标准化外汇产品交易系统
ETF市场-意向报价	RMBTS-CMDS-10-1	报价信息	ETF基金买卖意向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
发送报文查询请求	RMBTS-RMBSCM-9-1	报价信息	报文查询请求--结算代理模块	私有服务	单向：Out-Only	本币与本币结算代理模块交互的请求服务与响应服务合并	/	核心交易体系	本币交易系统	结算代理模块
接收报文查询响应	RMBTS-RMBSCM-9-2	报价信息	报文查询响应--结算代理模块	私有服务	双向：In-Out	本币与本币结算代理模块交互的请求服务与响应服务合并	/	核心交易体系	结算代理模块	本币交易系统
要约指令（做市报价）	RMBTS-CFAT-2	订单信息	本币做市报价--北金所要约指令	私有服务	单向：Out-Only	本币给北金所的做市报价与做市报价撤销合并	建议修订为私有服务	核心交易体系	本币交易系统	北金所
撤销要约指令	RMBTS-CFAT-3	订单信息	本币做市报价撤销--北金所要约指令	私有服务	单向：Out-Only	本币给北金所的做市报价与做市报价撤销合并	建议修订为私有服务	核心交易体系	本币交易系统	北金所
Excel报价－利率互换报价	ICAP-BMS-7	报价信息	利率互换市场最优报价--货币经纪	公有服务	单向：Out-Only	/	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
债券台－现券买卖标准单边报价	ICAP-BMS-8	报价信息	现券买卖标准单边报价--货币经纪	公有服务	单向：Out-Only	/	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
债券台－现券买卖标准双边报价	ICAP-BMS-9	报价信息	现券买卖标准双边报价--货币经纪	公有服务	单向：Out-Only	/	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
债券台－现券买卖单边无价格无数量报价	ICAP-BMS-11	报价信息	现券买卖单边无价格无数量报价--货币经纪	公有服务	单向：Out-Only	/	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
债券台－现券买卖单边无价格有数量报价	ICAP-BMS-10	报价信息	现券买卖单边无价格有数量报价--货币经纪	公有服务	单向：Out-Only	/	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
债券台－现券买卖双向单价格单数量报价	ICAP-BMS-12	报价信息	现券买卖双向单价格单数量报价--货币经纪	公有服务	单向：Out-Only	/	/	核心交易体系	国际货币经纪公司ICAP	市场基准参考系统
