服务编号	所属服务体系	所属主题域	所属数据实体	所属数据实体类型	服务名称	MEP(消息交换模式)	公有/私有	对方接口编号	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	服务用途（用原“私有服务同一业务双向交互编号”或“对方接口编号”预留字段展示）	数据交换模式	服务发布者	服务订阅者
PUB-CIM-0003	公共服务体系	机构数据	机构基础信息	/	机构更名--应用业务系统	单向：OUT-Only	公有服务	/	ORG_RNM_APLY_BSNS_SYS_ISO	/	确定合并，编号E78-4	 18:00:08	定时－指定时点		ETL	会员机构管理系统	同业存单系统
PUB-CIM-0003	公共服务体系	机构数据	机构基础信息	/	机构更名--应用业务系统	单向：OUT-Only	公有服务	/	V_ORG_RNM_APLY_BSNS_SYS	/	确定合并，编号E78-4	 19:16:27	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-RMBTS-0382	公共服务体系	机构数据	机构基础信息	/	机构关联关系	单向：OUT-Only	公有服务	/	TRDX_ENTITY_CNCT_RLTN_DTLS	/	72.0	 8:30:29	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0383	公共服务体系	机构数据	机构基础信息	/	机构关联关系配置	单向：OUT-Only	公有服务	/	TRDX_ENTITY_CNCT_RLTN_CNFG	/	73.0	 8:30:28	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0133	公共服务体系	机构数据	机构基础信息	/	机构关系详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_DTLS1	/	确定合并，编号E29-4	 9:21:09	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0133	公共服务体系	机构数据	机构基础信息	/	机构关系详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_DTLS(仅7:20:12\17:11:54)\TRDX_ENTITY_TYPE_DTLS1(仅7:20:24,且删除一个重复7:20:24)	/	确定合并，编号E29-4	 7:20:12\ 7:20:24\ 17:11:54	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0133	公共服务体系	机构数据	机构基础信息	/	机构关系详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_DTLS(删除四个重复 8:30:28\8:30:29\8:30:29\21:00:05)\TRDX_ENTITY_TYPE_DTLS1(仅8:30:28,且删除一个重复8:30:29)\TRDX_ENTITY_RLTN_DTLS(仅8:30:29)	/	确定合并，编号E29-4	 8:30:28\ 21:00:05	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0133	公共服务体系	机构数据	机构基础信息	/	机构关系详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_DTLS1	/	确定合并，编号E29-4	 7:31:16	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-CIM-0021	公共服务体系	机构数据	机构基础信息	/	机构和机构身份关系	单向：OUT-Only	公有服务	/	V_ORG_ORG_IDNTY_RL	/	确定合并，编号E79-4	 8:00:25	定时－指定时点		ETL	会员机构管理系统	本币交易系统
PUB-CIM-0021	公共服务体系	机构数据	机构基础信息	/	机构和机构身份关系	单向：OUT-Only	公有服务	/	V_ORG_ORG_IDNTY_RL	/	确定合并，编号E79-4	 11:29:38	定时－指定时点		ETL	会员机构管理系统	计费管理系统
PUB-CIM-0021	公共服务体系	机构数据	机构基础信息	/	机构和机构身份关系	单向：OUT-Only	公有服务	/	V_ORG_ORG_IDNTY_RL	/	确定合并，编号E79-4	 18:00:08	定时－指定时点		ETL	会员机构管理系统	同业存单系统
PUB-CIM-0021	公共服务体系	机构数据	机构基础信息	/	机构和机构身份关系	单向：OUT-Only	公有服务	/	ORG_ORG_IDNTY_RL(仅19:16:27)\V_ORG_ORG_IDNTY_RL(仅19:16:27)\V_ORG_ORG_IDNTY_RL1(仅19:15:17)	/	确定合并，编号E79-4	 19:15:17\19:16:27	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER	/	确定合并，编号E30-9	 2:30:10\ 8:10:03	定时－指定时点		ETL	本币交易系统	MTS
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER	/	确定合并，编号E30-9	 7:20:04	定时－指定时点		ETL	本币交易系统	本币市场监测系统
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER	/	确定合并，编号E30-9	 9:21:09\ 21:00:30	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER	/	确定合并，编号E30-9	 7:00:21	定时－指定时点		ETL	本币交易系统	上海银行间同业拆放利率系统
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER	/	确定合并，编号E30-9	 17:11:54	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER	/	确定合并，编号E30-9	 21:05:03	定时－指定时点		ETL	本币交易系统	市场数据发布系统
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER	/	确定合并，编号E30-9	 7:20:04	定时－指定时点		ETL	本币交易系统	数据处理系统
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER(删除五个重复8:30:28（2）\ 8:30:29（3）\BM_TRDX_ENTITY_MASTER_FLAT\TRDX_ENTITY_MASTER1(仅8:30:29)	/	确定合并，编号E30-9	 8:30:28	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0008	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER(删除一个重复8:21:46)	/	确定合并，编号E30-9	 8:21:46	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-CDITS-3	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	V_ORG_BASE_INFO	/	确定合并，编号E66-4	 21:20:05	定时－指定时点		ETL	大额存单系统	大额存单系统
PUB-CDITS-3	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	ORG_TP	/	确定合并，编号E66-4	 21:20:05	定时－指定时点		ETL	大额存单系统	大额存单系统
PUB-CDITS-3	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	V_ORG_CERT_INFO	/	确定合并，编号E66-4	 21:20:05	定时－指定时点		ETL	大额存单系统	大额存单系统
PUB-CDITS-3	公共服务体系	机构数据	机构基础信息	/	机构基础详情	单向：OUT-Only	公有服务	/	V_ORG_BASE_INFO	/	确定合并，编号E66-4	 21:00:07	定时－指定时点		ETL	大额存单系统	数据采集系统
PUB-RMBTS-0233	公共服务体系	机构数据	机构基础信息	/	机构基础详情--流水	单向：OUT-Only	公有服务	/	TRDX_ENTITY_MASTER_CHILD	/	74.0	 7:20:24\ 17:11:54	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-CIM-0022	公共服务体系	机构数据	机构基础信息	/	机构基础信息--CIM	单向：OUT-Only	公有服务	/	ORG_BASE_INFO_ISO	/	确定合并，编号E81-6	/	定时－指定时点		ETL	会员机构管理系统	CLRNG
PUB-CIM-0022	公共服务体系	机构数据	机构基础信息	/	机构基础信息--CIM	单向：OUT-Only	公有服务	/	ORG_BASE_INFO\V_ORG_BASE_INFO1	/	确定合并，编号E81-6	 22:00:09	定时－指定时点		ETL	会员机构管理系统	本币交易系统
PUB-CIM-0022	公共服务体系	机构数据	机构基础信息	/	机构基础信息--CIM	单向：OUT-Only	公有服务	/	V_ORG_BASE_INFO	/	确定合并，编号E81-6	 1:00:06	定时－指定时点		ETL	会员机构管理系统	标准金融资产及衍生品交易系统
PUB-CIM-0022	公共服务体系	机构数据	机构基础信息	/	机构基础信息--CIM	单向：OUT-Only	公有服务	/	V_ORG_BASE_INFO	/	确定合并，编号E81-6	 11:29:38	定时－指定时点		ETL	会员机构管理系统	计费管理系统
PUB-CIM-0022	公共服务体系	机构数据	机构基础信息	/	机构基础信息--CIM	单向：OUT-Only	公有服务	/	V_ORG_BASE_INFO(删除三个重复 19:16:27(2)\ 19:15:17)\ORG_BASE_INFO(仅19:15:17)	/	确定合并，编号E81-6	 19:15:17\ 19:16:27	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-CIM-0022	公共服务体系	机构数据	机构基础信息	/	机构基础信息--CIM	单向：OUT-Only	公有服务	/	V_ORG_BASE_INFO	/	确定合并，编号E81-6	 21:00:17	定时－指定时点		ETL	会员机构管理系统	中心交易信息备案系统
PUB-CIM-0022	公共服务体系	机构数据	机构基础信息	/	机构基础信息--CIM--本币外汇	单向：OUT-Only	公有服务	/	V_CNY_ENTY_MASTER_LOG	/	确定合并，编号E80-2	 22:00:09	定时－指定时点		ETL	会员机构管理系统	本币交易系统
PUB-CIM-0022	公共服务体系	机构数据	机构基础信息	/	机构基础信息--CIM--本币外汇	单向：OUT-Only	公有服务	/	V_FX_MEMBERBANK_CIM	/	确定合并，编号E80-2	 19:16:27	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-CIM-0011	公共服务体系	机构数据	机构基础信息	/	机构联系人	单向：OUT-Only	公有服务	/	ORG_CNTCT_PRSN_ISO\V_ORG_CNTCT_PRSN	/	建议合并剔除，编号111-2	 17:50:09	定时－指定时点		ETL	会员机构管理系统	本币交易系统
PUB-CIM-0011	公共服务体系	机构数据	机构基础信息	/	机构联系人--联系人类型关系	单向：OUT-Only	公有服务	/	CNTCT_PRSN_TP_RL_ISO\V_CNTCT_PRSN_TP_RL	/	建议合并剔除，编号111-2	 8:05:03	定时－指定时点		ETL	会员机构管理系统	本币交易系统
PUB-ICDIS-0005	公共服务体系	机构数据	机构基础信息	/	机构评级信息	单向：OUT-Only	公有服务	/	V_ORG_BASE_INFO	/	确定合并，编号E101-2	 21:05:07	定时－指定时点		ETL	同业存单系统	计费管理系统
PUB-ICDIS-0005	公共服务体系	机构数据	机构基础信息	/	机构评级信息	单向：OUT-Only	公有服务	/	V_ORG_BASE_INFO	/	确定合并，编号E101-2	/	定时－指定时点		ETL	同业存单系统	数据采集系统
PUB-RMBTS-0402	公共服务体系	机构数据	机构基础信息	/	机构身份	单向：OUT-Only	公有服务	/	TRDX_ENTY_IDNTY_RL	/	确定合并，编号E31-2	 8:30:28	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0402	公共服务体系	机构数据	机构基础信息	/	机构身份	单向：OUT-Only	公有服务	/	TRDX_ENTY_IDNTY_RL	/	确定合并，编号E31-2	 8:21:46	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-RMBTS-0179	公共服务体系	机构数据	机构基础信息	/	机构账户	单向：OUT-Only	公有服务	/	TRDX_ENTITY_ACCNT_DTLS1	/	确定合并，编号E32-6	 12:10:17	定时－指定时点		ETL	本币交易系统	交易后处理系统
PUB-RMBTS-0179	公共服务体系	机构数据	机构基础信息	/	机构账户	单向：OUT-Only	公有服务	/	TRDX_ENTITY_ACCNT_DTLS(仅17:07:17)\TRDX_ENTITY_ACCNT_DTLS1(仅9:00:09)	/	确定合并，编号E32-6	 9:00:09\ 17:07:17	定时－指定时点		ETL	本币交易系统	人民币跨境交易信息统计监测系统
PUB-RMBTS-0179	公共服务体系	机构数据	机构基础信息	/	机构账户	单向：OUT-Only	公有服务	/	TRDX_ENTITY_ACCNT_DTLS\TRDX_ENTITY_ACCNT_DTLS1	/	确定合并，编号E32-6	 17:30:11	定时－指定时点		ETL	本币交易系统	上海银行间同业拆放利率系统
PUB-RMBTS-0179	公共服务体系	机构数据	机构基础信息	/	机构账户	单向：OUT-Only	公有服务	/	TRDX_ENTITY_ACCNT_DTLS(仅11:31:36)\TRDX_ENTITY_ACCNT_DTLS1(仅0:00:51)\TRDX_ENTITY_ACCNT_DTLS_ETLUSER(仅0:00:51)	/	确定合并，编号E32-6	 0:00:51\ 11:31:36	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0179	公共服务体系	机构数据	机构基础信息	/	机构账户	单向：OUT-Only	公有服务	/	TRDX_ENTITY_ACCNT_DTLS1	/	确定合并，编号E32-6	 19:30:27	定时－指定时点		ETL	本币交易系统	数据处理系统
PUB-RMBTS-0179	公共服务体系	机构数据	机构基础信息	/	机构账户	单向：OUT-Only	公有服务	/	TRDX_ENTITY_ACCNT_DTLS	/	确定合并，编号E32-6	 8:30:29	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0251	公共服务体系	机构数据	机构基础信息	/	机构账户关系	单向：OUT-Only	公有服务	/	TRDX_ENTITY_ACCNT_LINK_RLTN	/	确定合并，编号E33-2	 11:31:36	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0251	公共服务体系	机构数据	机构基础信息	/	机构账户关系	单向：OUT-Only	公有服务	/	TRDX_ENTITY_ACCNT_LINK_RLTN	/	确定合并，编号E33-2	 19:00:23	定时－指定时点		ETL	本币交易系统	数据处理系统
PUB-RMBTS-0199	公共服务体系	机构数据	机构基础信息	/	机构证书授权详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_CERT_AUTH_DTLS	/	确定合并，编号E34-2	 9:00:09	定时－指定时点		ETL	本币交易系统	人民币跨境交易信息统计监测系统
PUB-RMBTS-0199	公共服务体系	机构数据	机构基础信息	/	机构证书授权详情	单向：OUT-Only	公有服务	/	TRDX_ENTITY_CERT_AUTH_DTLS	/	确定合并，编号E34-2	 0:00:51	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0115	公共服务体系	机构数据	机构基础信息	/	批处理详情	单向：OUT-Only	公有服务	/	TRDX_BTCH_MGMT_MASTER	/	78.0	 9:21:09	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-FXTS-0014	公共服务体系	机构数据	机构基础信息	/	清算管理关系	单向：OUT-Only	公有服务	/	SETTLEMENT_ACCOUNT	/	确定合并，编号E107-2	 21:05:04	定时－指定时点		ETL	外汇交易系统	会员机构管理系统
PUB-FXTS-0014	公共服务体系	机构数据	机构基础信息	/	清算管理关系	单向：OUT-Only	公有服务	/	SETTLEMENT_ACCOUNT	/	确定合并，编号E107-2	 2:30:18	定时－指定时点		ETL	外汇交易系统	交易后处理系统
PUB-FXTS-0015	公共服务体系	机构数据	机构基础信息	/	清算管理清算账户	单向：OUT-Only	公有服务	/	SETTLEMENT_GROUP\SETTLEMENT_INSTRUCTION	/	确定合并，编号E108-2	 21:05:04	定时－指定时点		ETL	外汇交易系统	会员机构管理系统
PUB-FXTS-0015	公共服务体系	机构数据	机构基础信息	/	清算管理清算账户	单向：OUT-Only	公有服务	/	SETTLEMENT_GROUP\SETTLEMENT_INSTRUCTION(删除一个重复 2:30:04)	/	确定合并，编号E108-2	 2:30:18	定时－指定时点		ETL	外汇交易系统	交易后处理系统
PUB-CIM-0051	公共服务体系	机构数据	机构基础信息	/	外汇机构身份	单向：OUT-Only	公有服务	/	V_ORG_IDNTY	/	76.0	 19:16:27	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-CIM-0036	公共服务体系	机构数据	机构基础信息	/	主关系类型	单向：OUT-Only	公有服务	/	V_MSTR_RL_TP	/	建议合并，编号112-2	 17:06:13	定时－指定时点		ETL	会员机构管理系统	人民币跨境交易信息统计监测系统
PUB-CIM-0036	公共服务体系	机构数据	机构基础信息	/	主关系类型--属性	单向：OUT-Only	公有服务	/	V_MSTR_RL_TP_ATTR	/	建议合并，编号112-2	 8:00:25	定时－指定时点		ETL	会员机构管理系统	本币交易系统
PUB-RMBTS-0135	公共服务体系	机构数据	机构配置信息	/	机构类型	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_MASTER	/	确定合并，编号E35-6	 9:21:09\ 21:00:30	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0135	公共服务体系	机构数据	机构配置信息	/	机构类型	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_MASTER	/	确定合并，编号E35-6	 7:00:21	定时－指定时点		ETL	本币交易系统	上海银行间同业拆放利率系统
PUB-RMBTS-0135	公共服务体系	机构数据	机构配置信息	/	机构类型	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_MASTER	/	确定合并，编号E35-6	 9:35:06	定时－指定时点		ETL	本币交易系统	数据处理系统
PUB-RMBTS-0135	公共服务体系	机构数据	机构配置信息	/	机构类型	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_MASTER(删除一个重复8:30:29)	/	确定合并，编号E35-6	 8:30:28	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-RMBTS-0135	公共服务体系	机构数据	机构配置信息	/	机构类型	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_MASTER\TRDX_ENTITY_TYPE_MASTER1	/	确定合并，编号E35-6	 7:00:05	定时－指定时点		ETL	本币交易系统	债券基础信息系统
PUB-RMBTS-0135	公共服务体系	机构数据	机构配置信息	/	机构类型	单向：OUT-Only	公有服务	/	TRDX_ENTITY_TYPE_MASTER(仅8:21:46)\TRDX_ENTITY_TYPE_MASTER1(仅11:31:22，且删除一个重复11:31:22)	/	确定合并，编号E35-6	 8:21:46\ 11:31:22	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-CIM-0005	公共服务体系	机构数据	机构配置信息	/	机构类型--CIM	单向：OUT-Only	公有服务	/	V_CNY_ENTY_TYPE_MASTER_LOG	/	确定合并，编号E82-3	/	定时－指定时点		ETL	会员机构管理系统	CLRNG
PUB-CIM-0005	公共服务体系	机构数据	机构配置信息	/	机构类型--CIM	单向：OUT-Only	公有服务	/	V_CNY_ENTY_TYPE_MASTER_LOG	/	确定合并，编号E82-3	 22:00:09	定时－指定时点		ETL	会员机构管理系统	本币交易系统
PUB-CIM-0005	公共服务体系	机构数据	机构配置信息	/	机构类型--CIM	单向：OUT-Only	公有服务	/	ORG_TP_ISO(仅19:16:27)\PBOC_BRNCH_ISO(仅19:15:17)\V_ORG_TP(删除五个重复 19:15:17(2)\ 19:16:27(3))\V_PBOC_BRNCH(仅19:15:17)	/	确定合并，编号E82-3	 19:15:17\ 19:16:27	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-CIM-0053	公共服务体系	机构数据	机构配置信息	/	外汇机构类型详情	单向：OUT-Only	公有服务	/	V_CNY_ENTY_TYPE_DTLS_LOG	/	81.0	 19:16:27	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-BMS-0088	公共服务体系	机构数据	机构群组信息	/	外汇交易系统做市商愿意公布明细机构名单视图	单向：OUT-Only	公有服务	/	V_FXMMPUBNAME	/	82.0	 17:21:09	定时－指定时点		ETL	市场基准参考系统	中国货币网
PUB-FXTS-0044	公共服务体系	机构数据	用户基础信息	/	LCM删交易在LCM2的视图	单向：OUT-Only	公有服务	/	CSTP_DEAL_DELETE	/	确定合并，编号E109-2	 17:20:54\ 17:22:07	定时－指定时点		ETL	外汇交易系统	数据处理系统
PUB-FXTS-0044	公共服务体系	机构数据	用户基础信息	/	LCM删交易在LCM2的视图	单向：OUT-Only	公有服务	/	CSTP_DEAL_DELETE	/	确定合并，编号E109-2	 9:30:01\ 9:31:05	定时－指定时点		ETL	外汇交易系统	中国货币网
PUB-FXTS-0004	公共服务体系	机构数据	用户基础信息	/	LCM用户视图	单向：OUT-Only	公有服务	/	LCM_USERS_VIEW	/	确定合并，编号E110-2	 21:00:41	定时－指定时点		ETL	外汇交易系统	CFTZ
PUB-FXTS-0004	公共服务体系	机构数据	用户基础信息	/	LCM用户视图	单向：OUT-Only	公有服务	/	LCM_USERS_VIEW	/	确定合并，编号E110-2	 1:00:07	定时－指定时点		ETL	外汇交易系统	标准金融资产及衍生品交易系统
PUB-FXTS-0007	公共服务体系	机构数据	用户基础信息	/	OCS用户组	单向：OUT-Only	公有服务	/	OCS_USER_GROUP	/	83.0	 23:30:05	定时－指定时点		ETL	外汇交易系统	本币交易系统
PUB-RMBTS-0150	公共服务体系	机构数据	用户基础信息	/	交易员证书	单向：OUT-Only	公有服务	/	TRDX_TRADER_CERT	/	84.0	 17:30:39	定时－指定时点		ETL	本币交易系统	会员机构管理系统
PUB-RMBTS-0234	公共服务体系	机构数据	用户基础信息	/	用户会话详情（交互服务器）	单向：OUT-Only	公有服务	/	TRDX_USER_SESN_DTLS	/	85.0	 7:20:24	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0009	公共服务体系	机构数据	用户基础信息	/	用户基本信息	单向：OUT-Only	公有服务	/	TRDX_USER_DTLS\TRDX_USER_DTLS1	/	确定合并，编号E36-5	 2:30:10\ 8:10:03	定时－指定时点		ETL	本币交易系统	MTS
PUB-RMBTS-0009	公共服务体系	机构数据	用户基础信息	/	用户基本信息	单向：OUT-Only	公有服务	/	TRDX_USER_DTLS_CHILD（仅9:21:09）\TRDX_USER_DTLS1(仅21:00:30)	/	确定合并，编号E36-5	 9:21:09\ 21:00:30	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0009	公共服务体系	机构数据	用户基础信息	/	用户基本信息	单向：OUT-Only	公有服务	/	TRDX_USER_DTLS\TRDX_USER_DTLS1	/	确定合并，编号E36-5	 19:29:39	定时－指定时点		ETL	本币交易系统	计费管理系统
PUB-RMBTS-0009	公共服务体系	机构数据	用户基础信息	/	用户基本信息	单向：OUT-Only	公有服务	/	TRDX_USER_DTLS	/	确定合并，编号E36-5	 23:00:30	定时－指定时点		ETL	本币交易系统	同业存单系统
PUB-RMBTS-0009	公共服务体系	机构数据	用户基础信息	/	用户基本信息	单向：OUT-Only	公有服务	/	TRDX_USER_DTLS\TRDX_USER_DTLS_CHILD	/	确定合并，编号E36-5	 8:21:46	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-CDITS-1	公共服务体系	机构数据	用户基础信息	/	用户基础信息	单向：OUT-Only	公有服务	/	V_USR	/	86.0	 21:20:05	定时－指定时点		ETL	大额存单系统	大额存单系统
PUB-RMBTS-0235	公共服务体系	机构数据	用户基础信息	/	用户基础信息--本币	单向：OUT-Only	公有服务	/	LCM_USER_GROUP	/	87.0	 7:20:24	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-CIM-0027	公共服务体系	机构数据	中外资类别	/	中外资	单向：OUT-Only	公有服务	/	CPTL_TP_ISO	/	确定合并，编号E84-2	 18:00:31	定时－指定时点		ETL	会员机构管理系统	大额存单系统
PUB-CIM-0027	公共服务体系	机构数据	中外资类别	/	中外资	单向：OUT-Only	公有服务	/	V_CPTL_TP	/	确定合并，编号E84-2	 2:30:07	定时－指定时点		ETL	会员机构管理系统	交易后处理系统
PUB-SFMS-0002	公共服务体系	计费数据	计费数据	/	本币交易费用发布	单向：OUT-Only	公有服务	/	BB_DEAL_FEE_INDEX	/	确定合并，编号E85-2	 16:37:14	定时－指定时点		ETL	计费管理系统	本币交易系统
PUB-SFMS-0002	公共服务体系	计费数据	计费数据	/	本币交易费用发布	单向：OUT-Only	公有服务	/	FX_CDIS_PUBLISH_FEE	/	确定合并，编号E85-2	 21:20:07	定时－指定时点		ETL	计费管理系统	本币交易系统
PUB-SFMS-0004	公共服务体系	计费数据	计费数据	/	本币通知单信息	单向：OUT-Only	公有服务	/	FX_FEE_CDIS_TZDXX	/	88.0	/	定时－指定时点		ETL	计费管理系统	直通式处理系统
PUB-SFMS-0001	公共服务体系	计费数据	计费数据	/	本币通知单信息--发行费用	单向：OUT-Only	公有服务	/	BB_DEAL_FEE	/	建议合并剔除，编号103-2	/	定时－指定时点		ETL	计费管理系统	本币交易系统
PUB-SFMS-0001	公共服务体系	计费数据	计费数据	/	本币通知单信息--接口信息	单向：OUT-Only	公有服务	/	FX_FEE_BB_TZDXX	/	建议合并剔除，编号103-2	/	定时－指定时点		ETL	计费管理系统	直通式处理系统
PUB-XTRADE-0007	公共服务体系	市场条件	场次数据	/	质押匿名点击场次信息	单向：Out-Only	公有服务	/	接口组-质押匿名点击场次信息发往监测系统	XTRADE-RMBMSS-Repo-6	89.0	/	/		IMIX	标准金融资产及衍生品交易系统	本币市场监测系统
PUB-RMBTS-0015	公共服务体系	市场条件	交易时段变更信息	/	本币交易时段变更信息	单向：Out-Only	公有服务	/	交易系统开盘信息	RMBTS-CFAT-1	确定合并，编号I14-3	/	/		IMIX	本币交易系统	北金所
PUB-RMBTS-0015	公共服务体系	市场条件	交易时段变更信息	/	本币交易时段变更信息	单向：Out-Only	公有服务	/	接口组-质押匿名点击成交应急数据发往X-Trade（本币）	RMBTS-XTRADE-Repo-3	确定合并，编号I14-3	/	/		IMIX	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0015	公共服务体系	市场条件	交易时段变更信息	/	本币交易时段变更信息	单向：Out-Only	公有服务	/	早上开市消息	RMBTS-XTRADE-IRS-4	确定合并，编号I14-3	/	/		IMIX	本币交易系统	标准金融资产及衍生品交易系统
PUB-FXTS-0010	公共服务体系	市场条件	交易时段变更信息	/	外汇交易时段变更信息	单向：Out-Only	公有服务	/	开市信息	FXTS-CSWAP-1	90.0	/	/		IMIX	外汇交易系统	标准化外汇产品交易系统
PUB-FXTS-0005	公共服务体系	市场条件	节假日数据	/	货币网节假日参照	单向：OUT-Only	公有服务	/	FX_CURRENCY_HOLIDAY	/	确定合并，编号E111-4	 21:00:41	定时－指定时点		ETL	外汇交易系统	CFTZ
PUB-FXTS-0005	公共服务体系	市场条件	节假日数据	/	货币网节假日参照	单向：OUT-Only	公有服务	/	FX_CURRENCY_HOLIDAY	/	确定合并，编号E111-4	 1:00:07	定时－指定时点		ETL	外汇交易系统	标准金融资产及衍生品交易系统
PUB-FXTS-0005	公共服务体系	市场条件	节假日数据	/	货币网节假日参照	单向：OUT-Only	公有服务	/	FX_CURRENCY_HOLIDAY	/	确定合并，编号E111-4	 7:00:12	定时－指定时点		ETL	外汇交易系统	市场基准参考系统
PUB-FXTS-0005	公共服务体系	市场条件	节假日数据	/	货币网节假日参照	单向：OUT-Only	公有服务	/	FX_CURRENCY_HOLIDAY	/	确定合并，编号E111-4	 9:00:18	定时－指定时点		ETL	外汇交易系统	数据处理系统
PUB-RMBTS-0001	公共服务体系	市场条件	节假日数据	/	节假日	单向：OUT-Only	公有服务	/	BM_TRDX_HLDY_MASTER_FLAT	/	91.0	 2:30:10	定时－指定时点		ETL	本币交易系统	MTS
PUB-FXTS-0016	公共服务体系	市场条件	市场营业日历	/	CFETS系统非开市日期的视图	单向：OUT-Only	公有服务	/	FX_MARKETOPENDATE	/	92.0	 2:30:04	定时－指定时点		ETL	外汇交易系统	交易后处理系统
PUB-RMBTS-0182	公共服务体系	统计分析	基础统计数据	闭市统计	本币闭市统计	单向：Out-Only	公有服务	/	闭市统计	RMBTS-PTPS-9	确定合并，编号I1-2	/	/		IMIX	本币交易系统	交易后处理系统
PRV-PTPS-0006	公共服务体系	统计分析	基础统计数据	闭市统计	本币闭市统计--私有	双向：Out-In	私有服务	PRV-SHCH-I-0064	闭市统计-本币	PTPS-IHUb-SHCH-4	建议合并，编号46-2	/	/		IMIX	交易后处理系统	上海清算所
